INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '2', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '5', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '15', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '17', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '20', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '24', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '29', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '32', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '33', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '35', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '37', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '41', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '43', '5');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '50', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '54', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '56', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '61', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '63', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '67', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '73', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '77', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '81', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '92', '1');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '95', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '97', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '98', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('1', '100', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '7', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '18', '2');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '19', '3');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '24', '4');
INSERT INTO REVIEWS (user_id, song_id, value) VALUES ('2', '25', '4');
